Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5000,5627,4574,10404,15232,15281,500,15317,9.860%,312.71499,89.02,46.03
TOTAL,5000,5627,4574,10404,15232,15281,500,15317,9.860%,312.71499,89.02,46.03
