Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetNewfeeds,1000,475,477,542,949,3242,160,3275,17.800%,244.20024,58.92,36.49
TOTAL,1000,475,477,542,949,3242,160,3275,17.800%,244.20024,58.92,36.49
