Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetNewfeeds,16908,85,82,85,87,149,73,2252,6.228%,117.06304,28.94,17.49
TOTAL,16908,85,82,85,87,149,73,2252,6.228%,117.06304,28.94,17.49
