Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,7000,8672,7631,18316,21028,21074,504,27474,13.600%,254.58248,127.85,34.09
TOTAL,7000,8672,7631,18316,21028,21074,504,27474,13.600%,254.58248,127.85,34.09
