Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,1061,745,1886,3389,3470,257,4687,1.400%,362.12204,92.67,54.11
TOTAL,2000,1061,745,1886,3389,3470,257,4687,1.400%,362.12204,92.67,54.11
